var,context,short def,long def,number of vars in sentence,context length,distance
𝐄,unlike in electrodynamics here 𝐄 and 𝐁 are merely complex three vectors,vectors,merely complex three vectors,2,12,7
𝐯s,total density the superfluid velocity ρ and the vector 𝐯s,vector,vector,1,10,1
|𝑺i|,terms of a classical spin model with spin variables |𝑺i| on a cubic lattice with lattice constant,variables,spin variables,1,17,1
𝐦i,Here 𝐦i is the thermally averaged magnetization of the ith,magnetization,thermally averaged magnetization,1,10,5
fw𝖱,Let fw𝖱 be the resonant part of f in the,part,resonant part,1,10,4
𝒦,the laboratory system 𝒦,system,laboratory system,1,4,1
𝒟,NH is the column density of hydrogen nuclei 𝒟 is the dust-to-gas mass ratio and δj is,ratio,dust-to-gas mass ratio,2,17,5
𝐤,the incident field given by its wavevector 𝐤,wavevector,wavevector,1,8,1
𝒯,The parameter 𝒯 is the period depending on world constants,parameter,parameter,1,10,1
𝒫,action on plasma can induce its electric polarization 𝒫,polarization,electric polarization,1,9,1
𝕄,with radius ℝ mass 𝕄 at temperature 𝕋 which all depend on Z,mass,mass,3,13,1
𝐂,the ith of the matrix 𝐐 and the matrix 𝐂 has elements,matrix,matrix,3,12,5
ϵ𝒌,a positive infinitesimal number ϵ𝒌 is the Hartree-Fock one-electron dispersion,dispersion,Hartree-Fock one-electron dispersion,1,10,5
m𝒌,we have determined the momentum dependent effective mass m𝒌 in,mass,momentum dependent effective mass,1,10,1
𝒫,of a rational polytope 𝒫 can be written as a rational function,polytope,rational polytope,1,12,1
𝐬,In fact 𝐬 may be any vector in the relative interior,vector,vector,1,11,4
𝐫1,the position vectors of the two most massive progenitors 𝐫1 and 𝐫2 at z,progenitor,massive progenitor,2,14,1
𝐫d,Subsequently we focus on the difference vector 𝐫d and the cross product of the velocities,vector,difference vector,1,15,1
𝐥,If the angular momentum 𝐥 of the emerged cluster at z is,momentum,angular momentum,1,12,1
𝒦,number of transitions or kinks in a spacetime volume 𝒦,volume,spacetime volume,1,10,1
𝐨i,define the five moves on the sc lattice: Let 𝐨i be a unit vector attached to the monomer,vector,unit vector,2,18,4
𝐗,code we determine the conformation 𝐗 by initially choosing,conformation,conformation,1,9,1
𝐁,The resulting changes in the magnetic field 𝐁 on the driving boundary are given,field,magnetic field,1,14,1
∇⋅𝐁,is a method by which the divergence free constraint ∇⋅𝐁 is imposed upon the numerically evolved magnetic,constraint,divergence free constraint,1,17,1
𝜽,true for the oscillation parameters 𝜽,parameters,oscillation parameters,1,6,1
𝒮,In the context of black hole perturbations 𝒮 provides a,perturbations,black hole perturbations,1,10,1
𝐪,and wave-vector 𝐪 is defined by,wave-vector,wave-vector,1,6,1
𝒲,associated to wedge–shaped regions 𝒲 of the form,regions,wedge–shaped regions,1,8,1
𝒟,of the domain of temperateness 𝒟,temperateness,temperateness,1,6,1
𝒪,where the localization region 𝒪 is held,region,localization region,1,7,1
𝚷,𝚷 is the viscous stress tensor with all,tensor,viscous stress tensor,1,8,5
𝐄,𝐄 the electric field,field,electric field,1,4,3
𝐱,an electron at the position 𝐱,position,position,1,6,1
𝐤,with wave-vector 𝐤,wave-vector,wave-vector,1,3,1
𝒢,and the overlap factor 𝒢 for the conduction,factor,overlap factor,1,8,1
𝐮,denote by 𝐮 the unit vector in the,vector,unit vector,1,8,3
𝐯𝐟,𝐟 creates a stationary particle flow with the velocity 𝐯𝐟,velocity,velocity,1,10,1
𝐅𝐟,if the particles are affected by a friction force 𝐅𝐟 which is assumed to be proportional to the,force,friction force,1,18,1
𝐟,without discs an external field with an effective force 𝐟 creates a stationary particle flow with the velocity,force,effective force,1,18,1
𝐦,where the variational parameters are the mean 𝐦 squared width w and amplitude d,mean,mean,3,14,1
𝐩,where 𝐩 is the kinetic energy and U(𝐫),energy,kinetic energy,1,8,4
𝐡,where 𝐀 is the image reconstruction matrix and 𝐡 is the reconstructed image,image,reconstructed image,2,13,4
𝐝m,where 𝐝m is the data predicted by each model in,data,data,1,10,3
𝐝,where the data vector 𝐝 and the data kernel 𝐆(y) are assumed known,vector,data vector,1,13,1
𝐂𝐡,that the covariance of the noise in the image 𝐂𝐡 is calculated by,covariance,covariance,1,13,7
𝐂𝐝,The noise statistics are characterized by a covariance matrix 𝐂𝐝,matrix,covariance matrix,1,10,1
𝐈,where 𝐈 is the identity matrix,matrix,identity matrix,1,6,4
𝐅p,it is possible to compute the force 𝐅p as the sum of two components,force,force,1,14,1
𝐅far,The component 𝐅far is computed for VB using,component,component,1,8,1
𝐠N,relation exists between the Newtonian and MOND accelerations 𝐠N and 𝐠,acceleration,Newtonian acceleration,2,11,1
𝐏,the number of spin reversals N and the momentum 𝐏 given by,momentum,momentum,2,12,1
𝐪′,are the directions of the relative momenta 𝐪 and 𝐪′ for the initial and final state respectively,momentum,final state momentum,2,17,3
𝐪,particle spins are the directions of the relative momenta 𝐪 and 𝐪′ for the initial and final state,momentum,initial state momentum,2,18,1
𝜹𝐁,assume that a random a magnetic field 𝜹𝐁 is much stronger,field,magnetic field,1,11,1
a𝐤,where the set of bosonic annihilation operators a𝐤 and,set,set of bosonic annihilation operators,1,9,5
𝒮,in a universal state 𝒮 which evolves according to,space,universal state space,1,9,2
𝐁,where 𝐁 a magnetic field in,field,magnetic field,1,6,3
𝒬,𝐯 is its velocity P is its pressure and 𝒬 is an explicit viscosity,pressure,pressure,3,14,2
N𝒫,This limit quantity N𝒫 counts number of,quantity,limit quantity,1,7,1
𝒩,𝒩 be the set of numbers that satisfy,set,set of numbers,1,8,3
𝝎,local fluid velocity 𝒗 and a vorticity 𝝎 replacing 𝑩,vorticity,vorticity,4,10,1
𝐁,a Coulomb field b and a constant magnetic field 𝐁,field,constant magnetic field,2,10,7
𝐯,𝐯 is fluid velocity field as,velocity,fluid velocity field,1,6,3
𝐣,at position p and time t a magnetic field 𝐣 is a current,field,magnetic field,3,13,1
p,at position p and time t a magnetic field 𝐣 is a current,position,position,3,13,1
t,at position p and time t a magnetic field 𝐣 is a current,time,time,3,13,1
𝝃,the motion of the decay on point 𝝃 is charaterized by,point,fixed point,1,11,1
mα,mα is a set of allowed transitions,set,set of allowed transitions,1,7,3
g,rest the gravitational field characterized by acceleration g,acceleration,acceleration,1,8,1
|𝒑|,to the initial momenta |𝒑| and a experimental,momenta,intial momenta,1,8,1
𝐤,a repeated scattering between state with a wavenumber 𝐤 where,wavenumber,wavenumber,1,10,1
𝒥ϵ,𝒥ϵ a energy damping number,number,energy damping number,1,5,4
𝐪,energy as the expansion on wave vectors 𝐪,vectors,wave vectors,1,8,1
𝑹j,The mass at position 𝑹j of pseudoparticles be determined,position,position,1,9,1
γ𝐪,The prefactor γ𝐪 is by calculating a imaginary,prefactor,prefactor,1,8,1
𝐐,velocity away from AF wave vector 𝐐,vector,AF wave vector 𝐐,1,7,1
Δ𝐪,Here Δ𝐪 is fermion gap one of the,gap,fermion gap,1,8,3
𝒏,interested a boundary condition 𝒏 at spatial infinity,condition,boundary condition,1,8,1
𝒯,subsequent transmission factor 𝒯 is be multiplied into,factor,transmission factor,1,8,1
𝐕,The vector 𝐕 a particle sector is,vector,rotation vector,1,7,1
l,occurring all a first l queries is above by,queries,first queries,1,9,1
q,usual let q denote a finite magnetic field having,field,finite magnetic field,1,9,5
R,here we see that the commutative ring R has the,ring,commutative ring,1,10,1
V,we define the density matrix V as such,matrix,density matrix,1,8,1
ε,the quantum transform to within accuracy ε,accuracy,accuracy,1,7,1
VG,being determined by the gate–voltage VG,gate–voltage,gate–voltage,1,6,1
t,at time t the velocity,time,time,1,5,1
f,applied two driving gates at frequency f,frequency,frequency,1,7,1
T,at the highest temperature T the,temperature,highest temperature,1,6,1
J,defined by its spin factor J its,factor,spin factor,1,7,1
A,three different parameters: a dimentionless parameter A a slope parameter B,parameter,dimensionless parameter,2,11,2
ω,to a λ upon a velocity ω equation,velocity,velocity,1,8,1
Q,the quadrupole moment tensor Q varies very slightly,tensor,quadrupole moment tensor,1,8,1
ω,velocity at frequency ω and a frequency of a oscillation f,frequency,frequency,2,11,1
ν,with a kinematic viscosity ν defined as ν,viscosity,kinematic viscosity,1,8,1
TH,with chemical freezeout temperature TH and a,temperature,chemical freezeout temperature,1,7,1
εin,estimate of a initial initial energy density εin,density,initial energy density,1,8,1
tdec,hence the decoherence time tdec is,time,decoherence time,1,6,1
γ,and an overall multiplicative constant γ that is defined by,constant,multiplicative constant,1,10,1
Λ,at a energy cutoff Λ the exponent characterising the,cutoff,energy cutoff,1,9,1
ω,with a same frequency ω there would typically,frequency,frequency,1,8,1
tcl,There a classicalisation time tcl and an initial,time,classicalisation time,1,8,1
Λk,atmospheric with the attenuation length Λk in very good,length,attenuation length,1,9,1
g,where the hyperelliptic surfaces Σ of genus g are,genus,genus,2,9,1
Δ,A discriminant Δ of a distibution p(x) is,discriminant,discriminant,2,8,1
V,the atomic operator V of a system is,operator,atomic field operator,1,8,1
ω,of atoms in the with frequency ω,frequency,frequency,1,7,1
Q,Kernal of the matrix Q is related,matrix,matrix,1,7,1
N,system of N Fermi particles moving,particles,Fermi particles,1,6,2
xi,xi are a eigenvalues at a position x^,eigenvalues,eigenvalues,2,8,3
p^,of the coordinate and p^ is momentum operator,operator,momentum operator,1,8,3
ℬ,that matrices j j' and ℬ are used as,matrix,matrix,3,9,4
x^,where xi are eigenvalues of a position x^,operator,operator,2,8,5
δ,where δ is the auxiliary variable and ξ(x) is the,variable,auxiliary variable,1,10,4
ω,we set oscillator frequency ω to be,frequency,oscillator frequency,1,7,1
ΔeJ,The the change in Josephson energy is defined as ΔeJ,change,change in Josephson energy,1,10,7
p,are randomly generated in a plane with probability p,probability,probability,1,9,1
t,are a set of coordinates t satisfying,set,set of coordinates,1,7,3
L,where L and v are the length and velocity,length,length,2,9,5
ReM,a magnetic Reynolds number ReM should be large enough,number,magnetic Reynolds number,1,9,1
kc,using wavenumber k and cutoff kc,cutoff,cutoff,1,6,1
l,for a decay turbulence on scale l the eddy time τl is,scale,scale,2,12,1
q,above and parameter q is,parameter,parameter,1,5,1
ρ,the density ρ and a viscosity v,density,density,2,7,1
η,For a density μ and a magnetic diffusivity η,diffusivity,magnetic diffusivity,2,9,1
τl,Given a eddy turnover time τl and a,time,eddy turnover time,1,8,1
HM,The magnetic helicity HM is defined as,helicity,magnetic helicity HM,1,7,1
ν,to a mean viscosity ν which define as,viscosity,mean viscosity,1,8,1
𝐁,where 𝐁 is a magnetic field in,field,magnetic field,1,7,4
cs,The speed cs takes value cs,speed,speed,1,6,1
n,chose slope n of a spectrum to be,slope,slope,1,8,1
c,where c is a speed of light and,speed,speed of light,1,8,3
c,is the bound state the core particle c of spin and m is set to,particle,core particle,1,15,1
p,in a projectile nucleus p is bound state a core particle c,nucleus,projectile nucleus,2,12,1
q,which q is the order of the,order,order,1,7,3
ℒ~,The ndimensional Lagrangian ℒ~ the canonically conjugated fields π and the Hamiltonian,Lagrangian,ndimensional Lagrangian,1,12,1
Γ,where B lies in the gauge fixing surface Γ,surface,gauge fixing surface,1,9,1
Φ,fields have an additional dependence on the stochastic time Φ,time,stochastic time,1,10,1
Ψ,Adapted coordinates Ψ enable to separate gauge independent and,coordinates,adapted coordinates,1,9,1
f,Let f be a gauge invariant observable then,observable,gauge invariant observable,1,8,5
Stot,where Stot denotes the total YangMills action,action,total YangMills action,1,7,5
E,canonical Langevin equations are coupled to an internal energy E,energy,internal energy,1,10,1
Γc,the ambient WIMP density ρw and the capture rate Γc so it is easy to rescale if the,rate,capture rate,2,18,1
σ,shows that for a spindependent WIMPnucleon cross section of σ stars only start to change,section,WIMPnucleon cross section,1,15,2
v¯,a WIMP velocity dispersion of v¯ and a WIMP mass of,dispersion,WIMP velocity dispersion,1,11,2
M,where M is the star’s mass and vesc its,mass,star’s mass,1,9,4
⟨ϕ⟩,⟨ϕ⟩ is the average potential,potential,average potential,1,5,4
Mz,the absence of stars brighter than zband absolute magnitude Mz in the transient environment,magnitude,zband absolute magnitude,1,14,1
MI,of galaxies and peaked at an absolute magnitude of MI,magnitude,absolute magnitude,1,10,2
G,where G is the gravitational constant and M,constant,gravitational constant,1,8,4
W,particle annihilating into W pairs with different polarizations,pairs,pairs,1,8,1
⟨σv⟩,where ⟨σv⟩ is the thermallyaveraged annihilation cross section mχ is the,section,thermallyaveraged annihilation cross section,1,11,6
B⋅L,planes and the value of the magnetic field is B⋅L,field,magnetic field,1,10,2
τ,The time τ of getting equilibrium is found to follow the,time,time,1,11,1
pc,such triangles depends on the concentration of initial majority pc,concentration,concentration of initial majority,1,10,4
si,The spin like opinion si is assigned to each actor i,opinion,spin like opinion,2,11,1
m,The time evolution of the average opinion m for,evolution,time evolution of the average opinion,1,9,5
m∞,The average time τ of reaching saturation opinion m∞ depends,opinion,saturation opinion,2,10,1
N,An example of the final network of N nodes is presented in,nodes,nodes,1,12,1
kT,a simple photoelectrically absorbed bremsstrahlung model had the parameters kT and nH,parameter,parameter,2,12,1
nH,bremsstrahlung model had the parameters kT and nH,parameter,parameter,2,8,3
L,let us observe that the total internal angular momentum L of the KN solution on either side of,momentum,total internal angular momentum,1,18,1
p,where p is its total linear momentum,momentum,total linear momentum,1,7,5
m,it represents a black hole with mass m,mass,black hole mass,1,8,1
ω,Consequently the angular velocity ω of a point in the singular ring turns,velocity,angular velocity,1,13,1
λ,disk has a diameter equal to the Compton wavelength λ of the electron,wavelength,Compton wavelength,1,13,1
q, and a charge of q,charge,charge,1,6,1
g,means that the KN solution has a gyromagnetic ratio g,ratio,gyromagnetic ratio,1,10,1
y′⁣i,Indeed the transformation y′⁣i does not lead to,transformation,transformation,1,8,1
xA,the position x is denoted by coordinates xA,coordinates,coordinates,1,8,1
N,notation we will consider a universe that consists of N particles,particles,particles,1,11,1
x,when we say the particle is at the point x what we mean is that its true position y,point,point,2,18,1
dℓ,use it as if it were a metric tensor dℓ,tensor,metric tensor,1,10,1
xi,Here the parameters θa include the three xi plus six independent elements of the symmetric matrix,parameters,parameters,1,16,5
gij,we can compute a second metric the information metric gij which need not in general coincide with γij,metric,information metric,1,18,4
i,In a model of physical space the i indices in xi can not be treated independently,indices,indices,1,16,1
mAB,where mAB is a constant diagonal matrix,matrix,constant diagonal matrix,1,7,5
A,of vortices k and the area of the torus A,area,area of the torus,2,10,4
Nf,gauge theory with 8 supercharges which has Nf flavor hypermultiplets,hypermultiplets,flavor hypermultiplets,1,10,2
ℳk,particles the moduli space is a symmetric product space ℳk,space,symmetric product space,1,10,6
sλ,where sλ is the skew Schur function,function,skew Schur function,1,7,5
k,measures a regularized “volume” of the moduli space of k instantons with gauge group U(r) and the prepotential,instantons,instantons,2,18,1
N,stands for the volume of the moduli space of N BPS solitons,solitons,BPS solitons,1,12,2
e,doublers and the choice of M produces exponential decay e,decay,exponential decay,1,10,1
ξ,transforming Grassman variables ξ and identifying,variables,Grassman variables,1,6,1
Eeff,To display the oscillations we calculate the effective mass Eeff and plot,mass,effective mass,1,12,1
M,For domain wall fermions the domain wall mass M generates a bound state,mass,domain wall mass,1,13,1
R,The lower right plot shows the chirality R which should,chirality,chirality,1,10,1
s,generates a bound state in the extra flavor direction s,direction,extra flavor direction,1,10,1
σμ,dimensions with κμ replaced by Pauli matrices σμ for,matrices,Pauli matrices,1,9,1
E,The eigenfunctions are momentum eigenstates and the quantity E is plotted as a function of,quantity,quantity,1,15,1
t,the dependence of lattice correlation functions on Euclidean time t arise for domain wall fermions with domain wall,time,Euclidean time,1,18,1
cG,present invariant observables we show how the socalled Gconcurrence cG is readily expressed within the present framework,Gconcurrence,socalled Gconcurrence,1,17,1
α,where α are the positive prefactors that have to be,prefactors,positive prefactors,1,10,4
S,Neumann entropy S of the reduced density matrix,entropy,Neumann entropy,1,8,1
V,of the quantum state ϱ we use the ansatz V,ansatz,ansatz,2,10,1
|ψi⟩,reformulate the convex roof construction in terms of states |ψi⟩ so that the infimum is to,states,states,1,16,1
λ,by the eigenvectors that are associated with the eigenvalue λ reads,eigenvalue,eigenvalue,1,11,1
Π,particularly simple fashion with the help of permutation operators Π,operators,permutation operators,1,10,1
P,Since however any such projector P can be written as a sum over powers,projector,projector,1,14,1
ℋ,Formally the term composite implies the the Hilbert space ℋ that describes the system is given by the,space,Hilbert space,1,18,1
ϱ,probabilities pi what gives rise to a density matrix ϱ At each emission the source produces,matrix,density matrix,1,16,1
τ,and the period is τ,period,period,1,5,2
N,return to the origin in an integral number of N steps thus a solution of,steps,steps,1,15,1
lPlanck,minimum measurable length in nature of the order of lPlanck where m is the corresponding time for which,order,order,2,18,2
TΔT,by shift invariance TΔT,invariance,shift invariance,1,4,1
Δ,on harmonic oscillations discretely deformed through asymmetric finite differences Δ for simplicity so the reader could quickly,differences,asymmetric finite differences,1,17,1
b,lattice with spacing a and an xlattice of spacing b respectively not necessarily such that,spacing,spacing,2,15,7
F,umbral transform of the step function a hypergeometric function F of imaginary argument,function,hypergeometric function,1,13,4
E,In a system or process characterized by energy E no lengths smaller than L can be accessed,energy,energy,2,17,1
t,For simplicity consider discrete time t,time,discrete time,1,6,1
C,the upper limit on the distance of complex C of,complex,complex,1,10,1
z,entropy random graphs with distribution pk and/or average degree z given by,degree,average degree,2,12,1
k,where nk(G) is the number of vertices with degree k and V(G) is the total number of vertices,degree,degree,3,18,1
⟨k⟩,Additionally the quantity ⟨k⟩ diverges and,quantity,quantity,1,6,1
pk∼k,the most interesting case are scalefree graphs with distribution pk∼k,distribution,distribution,1,10,1
V,models is the ensemble of all labeled graphs with V vertices and L links,vertices,vertices,2,14,1
pk,The distribution pk does not give any information about the correlations,distribution,distribution,1,11,1
σ,where σ is the Weierstrass sigmafunction,sigmafunction,Weierstrass sigmafunction,1,6,4
Hij,we will see below that all mixed partial derivatives Hij must be nonzero otherwise the system is either,derivatives,mixed partial derivatives,1,18,1
H',form when expressed in terms of the Legendre transform H' of the Hamiltonian density h rather then the,transform,Legendre transform,2,18,1
n,possesses an infinity of ncomponent hydrodynamic reductions parametrized by n arbitrary functions of a single variable,functions,arbitrary functions of a single variable,1,16,2
ai,here ai are arbitrary constants ϵ and e,constant,arbitrary constant,2,8,3
νi,both characteristic speeds ∂i and νi satisfy the dispersion,speed,characteristic speed,2,9,3
ϵ,here ai are arbitrary constants ϵ and Z′′ where,constant,arbitrary constant,2,9,1
m,Let us assume that both constants m and n are nonzero,constant,constant,1,11,1
A,we would like to stress that matrices A and B do not commute in general and,matrix,matrix,2,16,1
B,would like to stress that matrices A and B do not commute in general and can not,matrix,matrix,2,17,3
ψxt,if it can be recovered from the consistency condition ψxt,condition,consistency condition,1,10,1
c,where c is a constant of integration,constant,constant of integration,1,7,3
s,here s is a parameter,parameter,parameter,1,5,3
gi,here fi and gi are arbitrary functions of the indicated arguments,function,arbitrary function,2,11,3
℘,where ℘ is the Weierstrass ℘function,℘function,Weierstrass ℘function,1,6,4
H,The unperturbed Hamiltonian will be H with K the kinetic,Hamiltonian,unperturbed Hamiltonian,1,10,3
e,where ℓ is the magnetic length e is the quasiparticle charge and we choose,charge,quasiparticle charge,2,14,4
ℓ,where ℓ is the magnetic length e is the,length,magnetic length,1,9,4
nℓ,move particles a maximum distance of nℓ and is therefore topologically local so,distance,maximum distance,1,13,2
ℬ,when moving the coordinate w and a Berry’s matrix ℬ given by,matrix,Berry’s matrix,2,12,1
ν,A wellknown example occurs for the ν Laughlin quantum Hall state where,state,Laughlin quantum Hall state,1,12,4
m,we write the single particle wavefunction with angular momentum m as,momentum,angular momentum,1,11,1
eπi,quasiparticle adiabatically clockwise around another accumulates a Berry’s phase eπi which is independent of the details,phase,Berry’s phase,1,16,1
rmax,long distance and weak interaction limit is at position rmax where,position,position,1,11,1
Heff,with the effective Hamiltonian Heff where δH,Hamiltonian,effective Hamiltonian,1,7,1
K,The unperturbed Hamiltonian will be H with K the kinetic energy and,energy,kinetic energy,2,12,3
E,The perturbed energy is thus given by E where ε,energy,perturbed energy,1,10,5
ℏωc,denominator is (at least) of order the cyclotron energy ℏωc,energy,cyclotron energy,1,10,1
d,topologically local so long as quasiparticles are a distance d,distance,distance,1,10,1
α,exponent γ and the level of (dis)assortativity controlled by α .,level,level of (dis)assortativity,1,11,5
γ,degree to a k depending on the scalefree exponent γ and the level of (dis)assortativity controlled by α,exponent,scalefree exponent,2,18,1
Ti,where Ti denotes the number of triangles passing through vertex,number,number of triangles,1,10,3
ci,it is common use to average the clustering coefficients ci of all vertices with the same degree k,coefficients,clustering coefficients,2,18,1
k,randomly chosen edge has vertices of degrees j and k at its ends,degree,degree,1,13,3
N,scheme of the algorithm to construct a network with N vertices and a given,vertices,vertices,1,14,1
μ,very simple: numerical simulations are performed at chemical potential μ for which the fermion determinant is,potential,chemical potential,1,16,1
T,would imply the absence of any transition along the T axis in the physical regime of zero chemical,axis,axis,1,18,1
nf,with nf degenerate staggered fermions has shown that for,fermions,degenerate staggered fermions,1,9,3
μ^RW,μ^ value corresponding to the first RobergeWeiss transition line μ^RW is in good agreement with,line,RobergeWeiss transition line,1,15,1
am,theory with nf degenerate staggered fermions having mass am by means of a Hybrid Monte Carlo,mass,mass,1,16,1
α,there would be no instability because the amplitude of α in,amplitude,amplitude,1,11,2
T^,where the operator T^,operator,operator,1,4,1
N,However for a discrete wave function defined at only N grid points there is a loophole,points,grid points,1,16,2
Ωk,that of a harmonic oscillator with the Bogoliubov spectrum Ωk,spectrum,Bogoliubov spectrum,1,10,1
C,where C is just the diagonal element,element,diagonal element,1,7,5
T,obtained by integrating at temperature T using the spectral function ρ(ωT) obtained at some,temperature,temperature,1,14,1
Γ,where the subscript Γ corresponds to the different quantum numbers,numbers,quantum numbers,1,10,6
aτ,to use anisotropic lattices where the temporal lattice spacing aτ is much smaller than the spatial lattice spacing,spacing,temporal lattice spacing,1,18,1
as,aτ is much smaller than the spatial lattice spacing as,spacing,spatial lattice spacing,1,10,1
ξ,we present results from Nf simulations with anisotropy ξ,anisotropy,anisotropy,2,9,1
ϵ,where n ϵ and P are the baryon density energy density,density,energy density,2,11,6
Δℰ,where Δℰ is the energy density difference,difference,energy density difference,1,7,5
s,pressure temperature T and entropy density s can,density,entropy density,2,8,1
ϵQ,The quantity ϵQ can be interpreted as the latent heat,heat,latent heat,1,10,7
γ,the energy density difference of the two phases and γ is the corresponding surface tension,tension,surface tension,1,15,5
σ,and wings of width σ,width,width,1,5,1
Uμ,this case one can parameterize the collective fluid velocity Uμ in terms of the longitudinal flow rapidity Y as,velocity,collective fluid velocity,2,18,1
ωn,can be expressed in a simple form where ωn is an average multiplicity,multiplicity,average multiplicity,1,13,4
T,pressure temperature T and entropy density s,temperature,pressure temperature,2,7,1
P,where n ϵ and P are the baryon density energy density and pressure,pressure,pressure,3,13,8
H,where v is the local collective velocity and H is a function of time as,function,function of time,2,15,3
TF,fit of experimental data is achieved with freezeout temperature TF,temperature,freezeout temperature,1,10,1
δϕ,momentum of emitted pions to their mean transverse momentum δϕ,momentum,mean transverse momentum,1,10,9
cs,As already mentioned pressure temperature and sound velocity cs of the baryon–free matter,velocity,sound velocity,1,13,1
sNN,the BRAHMS collaboration for Au collisions at RHIC energy sNN,energy,RHIC energy,1,10,1
NS,Each rod has length L and is composed of NS spherical segments placed at equidistant positions along the,segments,spherical segments,2,18,2
ϵ,The amplitude is fixed at ϵ,amplitude,amplitude,1,6,4
L,Each rod has length L and is composed of NS spherical segments placed,length,length,1,13,1
τB,A natural unit of time is the Brownian time τB defined as the typical,time,Brownian time,1,14,5
p,above we have implicitly identified L with p the aspectratio of the Gaussian rods,aspectratio,aspectratio of the Gaussian rods,1,14,2
T∗,According to the associated reduced temperature T∗ is much higher,temperature,reduced temperature,1,10,1
σ,where σ is the potential range which will henceforth serve,range,potential range,1,10,4
LB,the length LB of the simulation box must be at least,length,length of the simulation box,1,11,1
Δ,positions along the rod main axis with segmentsegment distance Δ,distance,segmentsegment distance,1,10,1
DT,with DT the shorttime diffusion constant,constant,shorttime diffusion constant,1,6,4
DLT,the natural scale for the longtime translational selfdiffusion coefficient DLT defined as,coefficient,longtimetranslational selfdiffusion coefficient,1,12,1
DLR,we can define the longtime diffusion coefficient DLR as follows,coefficient,longtime diffusion coefficient,1,10,1
N,a finitedifference integration of the overdamped Langevin equations for N interacting anisometric particles in three dimensions,particles,interacting anisometric particles,1,16,3
df,object invariantly related to a function is its differential df (rather than the derivative),differential,differential,1,14,1
k,For a constant potential k,potential,constant potential,1,5,1
ψα,sufficiently small real α consider an orientation preserving diffeomorphism ψα that fixes and stretches the interval,diffeomorphism,diffeomorphism,1,16,1
Sn,be a point of the sphere Sn,sphere,sphere,1,7,1
Diff,a map of an interval I to the group Diff,group,group,1,10,1
xi,stretches the intervals so that point xi goes to,point,point,1,9,1
A,Each nonempty subset A of X has an isolated point,subset,nonempty subset,1,10,1
X,of a topological space X is a family of the form,space,topological space,1,11,1
I,Let I be the set of isolated points of X,set,set of isolated points,1,10,3
Ax,Indeed the sets Ax where,sets,sets,1,5,1
μ¯,Finally μ¯ and μ¯1 are the coefficients of the collisional,coefficient,coefficient,2,10,5
γ,We can eliminate the explicit dependence on the parameters γ α and α' by means of the following,parameter,parameter,3,18,1
P,Its period is P with,period,period,1,5,2
U,turbulent fluctuation level E the averaged poloidal velocity shear U and the pressure gradient N,shear,averaged poloidal velocity shear,3,15,1
N,poloidal velocity shear U and the pressure gradient N,gradient,pressure gradient,1,9,1
Γ,phase transition with order parameter U and control parameter Γ the particle flux which enters the model through,parameter,control parameter,2,18,5
Γc,For Γ below a critical value Γc the stable stationary solutions have U,value,critical value,1,13,1
E,equations describing the evolution of the turbulent fluctuation level E the averaged poloidal velocity shear U and,evolution,evolution of the turbulent fluctuation level,1,17,6
θ,value of μ at position angle θ where uncertainties include an estimated,angle,position angle,1,12,1
λ,across the entire chip with an average resolution of λ,resolution,average resolution,1,10,2
d,obtained a cluster distance of d and a reddening,distance,cluster distance,1,9,2
MTO,That corresponds to a mainsequence turnoff mass of MTO,mass,mainsequence turnoff mass,1,9,2
EB,distance of d and a reddening of EB after transforming the data to the,reddening,reddening,2,14,2
MJ,in terms of a radial dependence of Jeans mass MJ in protoclusters was suggested by to account for,mass,Jeans mass,1,18,1
P,Such objects eventually become Cepheids with pulsation periods P days or planetary nebulae once they pass,periods,pulsation periods,1,16,1
eσ,dependent on the deformability parameter eσ,parameter,deformability parameter,1,6,1
δ,whole which is converted into an equivalent phase delay δ,delay,equivalent phase delay,1,10,1
e,the precession rate in longitude to the ellipticity parameter e,parameter,ellipticity parameter,1,10,1
T,where T is the temperature and we employed,temperature,temperature,1,8,3
α,case of m we obtain the GelfondNewman constant α,constant,GelfondNewman constant,1,9,1
Δt,the mass of gas stripped over some time interval Δt is just the total mass of stripped gas,interval,time interval,1,18,1
vr,Specifically the initial relative radial velocity component vr is set to vc(r) and the initial relative,component,initial relative radial velocity component,1,16,1
α,where α is a geometric constant of order unity which,constant,geometric constant,1,10,4
h,where h is the Hubble constant,constant,Hubble constant,1,6,4
mgas,The default gas particle mass mgas is set to,mass,default gas particle mass,1,9,1
Fram,due to ram pressure on this annulus is simply Fram,pressure,ram pressure on this annulus,1,10,6
vt,and the initial relative tangential component vt is set to,component,initial relative tangential component,1,10,1
R,Consider gas in a projected annulus between radii R and R',radius,radius,2,11,8
F,where F is the baryon fraction of the galaxy M is the,fraction,baryon fraction of the galaxy,1,12,4
β,We therefore multiply this timescale by an adjustable coefficient β when computing,coefficient,coefficient,1,12,1
tram,where tram is the characteristic timescale for ram,timescale,characteristic timescale,1,8,4
c,is often expressed in terms of a concentration parameter c,parameter,concentration parameter,1,10,1
r,Here r is the radius within which the mean density,radius,radius,1,10,3
c,by varying its initial concentration parameter c (equivalently its scale radius rs),parameter,initial concentration parameter,2,12,1
ρ,where ρ is a twoqubit density matrix,matrix,twoqubit density matrix,1,7,5
