var,context,def
"ℓ","islands the so called diffusion length ℓ is larger than the separation ℓ between preexisting","separation"
"p","either the dimer is reabsorbed with probability p","probability"
"kc","In the hypothesis that a critical height kc can be defined kmax is clearly a lower","height"
"D","hops to nearest neighbor sites at rate D if the neighbor belongs","rate"
"F","Deposition events occur at rate F on randomly selected sites","rate"
"j","a summation over neighboring metal ions i and ligands j","ligands"
"t𝖾𝖿𝖿","four ligand sites with an effective hopping matrix element t𝖾𝖿𝖿","element"
"ϕ","ϕ represents the external electromagnetic (EM) excitations","excitations"
"q","The model equation for the quaternion q has the form","quaternion"
"s","is the averaged sensory input which has real component s and imaginary components φp","component"
"L","mean correlations in a normalized energy interval of length L","length"
"g","characterized by their genus number g which is equal to","number"
"M","mass ΔM on to a compact object of mass M and radius R releases energy","mass"
"L∼a","two opposing beams is of order the total luminosity L∼a","luminosity"
"𝐍","Since the torque 𝐍 vanishes if the hole does not rotate the","torque"
"∼J","the corresponding energy release both reduce by a factor ∼J","factor"
"Mc","rotational energy is comparable with its total rest–mass energy Mc","energy"
"L","the matter directly issuing through the inner Lagrange point L","point"
"ϕ","where ϕ is the ground state of Hydrogen","state"
"P","the problem to the space spanned by the projector P","projector"
"e","and it was shown that the muonic ion e is unstable for actual values of all","ion"
"H","Under stability of the Hamiltonian H we shall understand the existence of a bound","Hamiltonian"
"J","The total charge current is given by J","current"
"f^","Here f^ is the diagonal generalized distribution number matrix of","matrix"
"χ","where θ and χ are position and energy dependent (complex) variables","variables"
"G^K","describing equilibrium properties and G^K is the Keldysh component which describes the nonequilibrium","component"
"G^R","Here G^R and G^A are the retarded and advanced components","components"
"E","and E an elliptic curve over some ring R let","curve"
"η","if they differ only by a global multiplicative constant η and a total time derivative of some gauge","constant"
"Teff","written as the difference between some function (kinetic energy) Teff and the effective potential Veff","energy"
"r","a triangular lattice of air holes with the radius r in a circular geometry","radius"
"ϵ","we plot the mode eccentricity parameter ϵ","parameter"
"λ","on a baseline of length λ the synthesized beam b determines the resolution while","length"
"ω","where ω is the mean oscillation frequency and N is","frequency"
"D","To understand this consider a cylindrical wire of diameter D carrying current I","diameter"
"Tμν","where uμ is the four-velocity and Tμν is the energy-momentum tensor","tensor"
"E","explosions the energy E surrounding density n postshock","energy"
"ϵe","equipartition fraction ϵB and electron equipartition fraction ϵe under the frequently","fraction"
"R","When the shock radius R is sufficiently large compared to the size of","radius"
"γ∼","The condition γ∼ implies that the radius Rj at","condition"
"n","explosions the energy E surrounding density n postshock magnetic field","density"
"γc","accumulate at lower Lorentz factor γc where the cooling time","factor"
"τm","that the ratio of τ~m to the optical depth τm at","depth"
"p","The observed afterglow synchrotron spectra constrain p as is well known and the break in","constrain"
"T","intensity is proportional to νT where T is the effective electron temperature","temperature"
"e","where p and e are the fluid pressure and (proper) energy density","density"
"j~m","The specific emissivity j~m of the non shock-accelerated electrons","emissivity"
"γ^","where γ^ is the adiabatic index","index"
"η","Here η is a parameter that expresses our ignorance of","parameter"
"εe","where εe is the electron energy above some minimum energy","energy"
"γe","of expansion the characteristic Lorentz factor γe of accelerated electrons εe is approximately","factor"
"νc","electrons radiate synchrotron photons at frequency νc and for typical model","frequency"
"δ^k","where δ^k is the Fourier transform of δn","transform"
"γ","where the integer parameter γ critically depends on the specific energy-level statistic considered","parameter"
"M","and M is the size of the series","size"
"α","where the parameter α is a positive integer","integer"
"f","of the density of levels which shows blue noise f for chaotic systems and white noise","noise"
"B","with B baryon number S spin and L","number"
"Λ","there is a new length-scale Λ such that for","scale"
"F","The free energy density F for a thin film made of","density"
"Δ","At low temperature the energy gap Δ is estimated by","gap"
"p","with a probability p","probability"
"Ea","the Fermi level in the FermiDirac distribution function Ea gives a special energy level","function"
"E","where E and σ are the central energy and broadening","energy"
"H^cav","The cavity of length H^cav is resonant with","length"
"Γ","The oscillator frequency ω and mechanical damping rate Γ are fixed while the","rate"
"Γ∼","and the dimensionless damping rate Γ∼ is much smaller","rate"
"ω","The oscillator frequency ω and mechanical damping rate Γ are fixed while","frequency"
"Rs","inner cavity is set by the dust sublimation radii Rs","radii"
"𝐀","propagating in the z-direction with a vector potential 𝐀 whose only nonzero component","potential"
"r","where the interaction parameter r is","parameter"
"α","with the Pareto exponent α lying between 1 and 2","exponent"
"ni","where ni are normal vectors directed","vectors"
"R¯","to the spatial metric as is the Ricci scalar R¯","scalar"
"γij","hypersurfaces resulting in four constraint equations that the metric γij and extrinsic curvature Kij of each timeslice must","metric"
"N","The lapse function N gives the proper time between slices Ndt and","function"
"K","The quantity K is the trace of the extrinsic curvature.","trace"
"n","In this approach the conformal factor for n black holes is written as","holes"
"βi","proper time between slices Ndt and the shift vector βi describes the coordinate drift between slices","vector"
"Kij","constraint equations that the metric γij and extrinsic curvature Kij of each timeslice must satisfy and six evolution","curvature"
"P^i","where P^i is a unit vector in the direction of","vector"
"u","for n momentarily stationary black holes plus a function u which describes the deviation in the conformal factor","function"
"m","the special case of a single Schwarzschild black hole m equals the ADM mass of the black hole","hole"
"c","The lapse parameter c corresponds to the parameter b in","parameter"
"Bi","where Bi is a known vector","vector"
"M","where M is the puncture ADM mass of the black","mass"
"Wi","The solution Wi that corresponds to a boosted BowenYork black hole","solution"
"Ω","days of mean field dynamo theory a negative radial Ω gradient was already anticipated","gradient"
"λM","as measured for example by the magnetic Taylor microscale λM where","microscale"
"η","field expressed in terms of the magnetic vector potential η is the magnetic diffusivity and","potential"
"𝑩","is current density 𝑩 is magnetic field expressed in terms","density"
"𝑱","where ρ is density 𝑼 is velocity 𝑱 is current density 𝑩","density"
"B¯y","Except near the open boundaries where B¯y the mean field is mostly into the","field"
"k","and of a large scale component with wavenumber k","wavenumber"
"𝑩¯","Here we define 𝑩¯ as an average over the y direction","average"
"ν","is the viscous force where ν is the kinematic viscosity and 𝖲ij","viscosity"
"l","well number in multiQW structures or a valley index l in multivalley semiconductors","index"
"V","In semiconductor QWs the matrix element V of electron scattering by static defects or phonons","element"
"r","two particles of charge Q separated by a distance r is","distance"
"Q","The Yukawa potential energy for two particles of charge Q separated by a distance r","charge"
"Γ","viscosity has a minimum at a Coulomb coupling parameter Γ of about 17 arising from the temperature dependence","parameter"
"N","data for the positions and velocities of N particles as well as the shear stress","particles"
"𝐫ij","Here m is the particle mass and 𝐫ij is the distance between particles I","distance"
"ν","and areal mass density respectively yielding the kinematic viscosity ν","viscosity"
"κ","repulsion to a hardsphere-like repulsion as the screening parameter κ is increased","parameter"
"δ","of a single physical qubit to fail with probability δ and the overall probability of the 𝙲𝚂𝙸𝙶𝙽 gate","probability"
"𝐘","we will use the Pauli matrices 𝐗 and 𝐘","matrix"
"𝐗","Throughout the paper we will use the Pauli matrices 𝐗 and 𝐘","matrix"
"𝐏","and the phase gate 𝐏","gate"
"𝐇","the 𝙲𝚂𝙸𝙶𝙽 gate the Hadamard gate 𝐇 and the phase gate 𝐏","gate"
"n","two pointers is larger than the number of qubits n used in of the quantum computer.","qubits"
"Δχ","However the difference Δχ between these values is again not significant","difference"
"mb","to the heavy quark masses mc and mb","mass"
"mc","equal to the heavy quark masses mc and mb","mass"
"Mν","And Mν is the effective mass matrix of the light","matrix"
"M","The matrices M and MΩ have elements of O(MGUT) while the","matrix"
"MΩ","The matrices M and MΩ have elements of O(MGUT) while the elements of","matrix"
"MR","MR is the Majorana mass matrix of the righthanded","matrix"
"j","The index j does not necessarily follow the temporal","index"
"nb","We repeat step a fixed number nb of times.","number"
"r","is an arbitrary stride r is the number of points in the forward","stride"
"𝐰j","where the vectors 𝐰j may or may not belong to ℛ and","vectors"
"τ","Here τ is a positive integer and i now runs","integer"
"T","first valid vector after the gap in a time T which is prescribed","time"
"ℒ","is greatly limited if we require that the set ℒ whose elements sample the","set"
"𝐱i","any reconstructed vector 𝐱i whose components are not","vector"
"nf","step for a fixed number nf of times.","number"
"P","a function of different fission channels P in the process","channels"
"m","and mass in the unit of solar mass m","mass"
"R","the scaled stellar radius R and mass in the","radius"
"v","where the subscript v refers to the velocity gauge","gauge"
"ω","laser pulse with central frequency ω","frequency"
"ρ","where ρ is the gas density","density"
"t","by vbDr right of the stationary origin at time t","time"
"v","where v is the velocity of the frame we readily","velocity"
"ω","these structures are oscillating with frequency ω we readily realize","frequency"
"m˙","radiative efficiency at some critical value of m˙ the mass accretion rate M˙","rate"
"mS","difference between two energy states with the quantum number mS","number"
"D","data allow the determination of the crystal field parameters D","parameters"
"ϕ","to the well-known Lichnerowicz equation for the conformal factor ϕ","factor"
"R","where R is the scalar curvature and K","curvature"
"V¯","and the volume V¯","volume"
"ϵ","is the perturbed evolution ϵ is the perturbation strength and V is the","strength"
"Γ","gives the FGR exponential fidelity decay rate Γ as a function of ϵ and the perturbation","rate"
"k","chaoticity of the QKT depends on the kick strength k","strength"
"J","where J is the angular momentum of the top and","momentum"
"ΔV","hydrogen mass of M⊙ and a velocity width of ΔV","width"
"ϵ","where ϵ is the efficiency of the energy release","efficiency"
"ΩΛ","the present density parameter Ωm the cosmological constant ΩΛ the Hubble constant h","constant"
"f","If the mass ratio f is larger than a","ratio"
"Ωm","the present density parameter Ωm the cosmological constant ΩΛ the Hubble constant h","parameter"
"∼n","can be observed as a stochastic background at frequencies ∼n","frequencies"
"n","those of a real star (a polytrope of index n)","index"
"δ","and δ stands for the quotient between the exchange J","quotient"
"h","stripes of width h which depends on δ","width"
"L","implies that the linear size L of the system must","size"
"Mh","The thermodynamical averages Mh and its associated susceptibilities","averages"
"r","where r denotes the constant cooling rate of the experiment","rate"
"τ","that the magnetization M at time τ depends","time"
"n","length scales one can expect that the coarsening exponent n will be independent of many of the microscopic","exponent"
"X","have the adjacency matrices X and Y","matrix"
"Y","have the adjacency matrices X and Y","matrix"
"d","are the usual Pauli spin operators and the vector d has real components satisfying","vector"
"p","taking into account the normalisation constraint p leads to the conclusion that","constraint"
"T","Consider two unitary operators S and T referring to a possibly composite","operator"
"V","It is convenient to define the unitary operator V and to consider the inner product","operator"
"S","Consider two unitary operators S and T referring to","operators"
"Δ","and Δ is the sampling interval of the signal","interval"
"Θ","The constant shift Θ reflects that δn is not a continuous twopoint","shift"
"ϵi","the actual energy levels Ei into new dimensionless levels ϵi","levels"
"N","where N is the dimension of the spectrum and","dimension"
"Δ","and Δ is the Laplacian operator","operator"
"C1","where C1 and C2 are arbitrary constants","constant"
"C2","where C1 and C2 are arbitrary constants","constant"
"μ","where the parameter μ is given by a root","parameter"
"r","In this theory we have another universal constant r which","constant"
"p","and p is a separation constant","constant"
"BD","where BD is a Lie algebra-valued differential D form","differential"
"ΛD","where ΛD is a Lie algebra valued D form","algebra"
"μ","is closer to the chemical potential μ and crosses μ at","potential"
"H","at several values of the magnetic field H","field"
"Cp","divided by temperature Cp","temperature"
"σ","and where each spin component σ is considered independent in the","component"
"F","is calculated numerically from the free energy F","energy"
"f","We further assume that a small fraction f of the radiated luminosity L","fraction"
"σ","additive hard spheres of diameters σ","diameters"
"γ","For a fixed diameter ratio γ the thermodynamic properties of","ratio"
"ρ","described in terms of the number density ρ with V the volume","density"
"N","the closed ball centered at x of radius N will be denoted by","radius"
"K","there exists a closed (in the profinite topology) subset K of G such that","subset"
"P","Then any quasiconvex product P defined by","product"
"q","A path q is called (λc) if there exist","path"
"G","A word hyperbolic group G is called GFERF if every quasiconvex subgroup coincides","group"
"H","Thus a subgroup H is separable whenever it is an","subgroup"
"vrot","fits the data for a velocity vrot at the outer","velocity"
"Tk","have derived a slightly lower kinetic temperature Tk","temperature"
"pT","a given rapidity the anisotropic flows at transverse momentum pT can be evaluated from","momentum"
"αs","where αs is the strong coupling constant and s","constant"
"K","calculation in doesn’t include a K factor which can be","factor"
"r","adopt a cluster limiting radius of r and plot all","radius"
"P","let us introduce a projection operator P which acts on","operator"
"Ψ","that H is stable H has a bound state Ψ with the energy","state"
"K","allows a straightforward classification of pulse sequences by order K the number of terms in the time dependent","order"
"μ","where σ n and μ are the usual Pauli matrices for","matrix"
"n","where σ n and μ are the usual Pauli matrices for","matrix"
"σ","where σ n and μ are the usual Pauli matrices for","matrix"
"m","The slow sector m carries the main part of the total","sector"
"τ","The duration of a pulse τ is chosen to be fixed so as to","pulse"
"n2","We set the form factor powers n1 and n2","power"
"n1","We set the form factor powers n1 and n2","power"
"ΩX","not depend on the density parameter of dark energy ΩX","energy"
"Ω","by analogy to the matter density parameter Ω","parameter"
"ν","To verify the model we estimate of the parameter ν at the present epoch from the observation of","parameter"
"ρ","with the energy ρ and pressure p—the source of gravity—satisfies the strong","energy"
"q","where q is the deceleration parameter","parameter"
"j","obtain that the measurements of the jerk j at the present epoch probes","jerk"
"H","where the Hubble function H","function"
"νn","Let us define the parameter νn for the characterization of variability","parameter"
"Y","with a field taking values in some target space Y","space"
"tα","This formula smoothly connects the early time tα decay with the later time","time"
"EG","There we have plotted the ground-state energy EG for","energy"
"Z☉","respect to the local interstellar value Z☉ assuming","value"
"Γ","initial bulk Lorentz factor of GRB ejecta Γ intrinsic","factor"
"E","isotropic-equivalent kinetic energy of blastwave E","blastwave"
"R","evolution of the shock radius R bulk Lorentz factor Γ number density 𝒩 energy","radius"
"B","can provide for an analyzing bandwidth B","bandwidth"
"n","energy of blastwave E ambient medium density n half angle of jet collimation","density"
"Z","The metallicity Z is parameterized by its fraction with respect to","metallicity"
"τp","The time evolution of τp after shock crossing can be derived in a","evolution"
"𝒩","Lorentz factor Γ number density 𝒩 energy density ℰ and magnetic","density"
"Yr","and Yf and Yr are the Compton parameters for the FS and","parameters"
"r","the energy dependence of the relaxation time to be r","time"
"σ","where σ is the electrical conductivity and Fn is a","conductivity"
"TC","where μC is the electrochemical potential and TC the temperature of electrons","temperature"
"μC","and where μC is the electrochemical potential and TC","potential"
"β","Here α and β are corresponding canonical dimensions","dimension"
"m","the scalar mass m can be written as","mass"
"λ","The dimensionless factor λ reflects the shrinkage of the probability","factor"
"V","the rectangular potential barrier of height V is localized in the","height"
"vtr","This means that the velocity of this flux vtr can be written as","flux"
"β","in this case the inverse temperature β","temperature"
"s","where s is the proper time parameterizing the world-lines of","parameterizing"
"Fb","and has a breaking threshold Fb","threshold"
"η","motion governed by viscosity η and its position will be changed by","viscosity"
"R","with the same radius R model nanospheres while springs which are characterized by","radius"
"dt","The time length dt for each relaxation step","length"
"ϵfs","where ϵfs and σfs are the energy and range parameters","parameters"
"vxslip","where vxslip is the slip velocity","velocity"
"σfs","where ϵfs and σfs are the energy and range parameters and δfs","parameters"
"lsB","uses two different slip lengths lsA and lsB for the A and B stripes respectively","lengths"
"P","and P is the oscillation period set to be larger","period"
"vn","the impermeability boundary condition vn and the incompressibility condition","condition"
"σ","where ϵ is the energy scale and σ the range scale","scale"
"lseff","can be used to define an effective slip length lseff","length"
"ρ","average number density for the fluid is set at ρ","density"
"δ","is a constant δ is the oscillation amplitude","amplitude"
"ρw","The number density of the wall equals ρw","density"
"T","The temperature is maintained at T","temperature"
"V","by moving the upper wall at a constant speed V in the x direction","speed"
"lsA","model uses two different slip lengths lsA and lsB for the A and B stripes","length"
"QD","where QS is a static (reference) quantity QD the corresponding dynamic quantity and the over tilde","quantity"
"j","field computed at time t on nodes of index j that we could use in a numerical scheme","index"
"h","computational grid on Ω with an initial grid step h","step"
"t","vector of the cartesian coordinates of a node and t is the time variable then for an adaptive","time"
"μ","where μ is the dynamical viscosity of the fluid","viscosity"
"m","In the factor of proportionality m is supposed in general constant","proportionality"
"i","if i is an index parameter of the ith node","parameter"
"M","is an index parameter of the ith node and M is the total number of nodes we have","number"
"b","where μ and b are positive constants","constnt"
"χ","as a path integral over a complex scalar field χ with action χ","field"
"bs","the spatial and temporal lattice spacings by Nt and bs","spacings"
"TF","appears gradually as the temperature reaches the Fermi temperature TF","temperature"
"Tc","first results for the critical temperature Tc and describe the","temperature"
"D","been suitably normalized where the exponent D in the normalizing denominator","exponent"
"μ","where μ is the finite mean and x","mean"
"Pi","If the angle Pi is identified with","angle"
"Es","the postsynaptic membrane potential and Es is a parameter whose value","parameter"
"Iapp","bifurcation to a limit cycle for increasing applied current Iapp","current"
"D","influence of increasing noise intensity D for the two types of coupling","intensity"
"r","in the r band using the current Kodak CCD","band"
"fC","The critical value fC shows a hysteretic behavior","value"
"N","In the Bonabeau model N agents walk randomly","agents"
"Γ","by Lorentzian lines with widths Γ that are related","widths"
"Δk","transitions involve large momentum transfers Δk and the Coulomb","transfers"
"d","on the width d of the ear channel is known and since","width"
"Λ","Let Λ be the smallest eigenvalue of the Dirichlet Laplacian","eigenvalue"
"n","The values of the first braking index n are less than","index"
"Ω","where μ is the magnetic dipole Ω is the frequency R is the neutron star","frequency"
"𝐉","where 𝐉 is the linear stability (Jacobian) matrix of the","matrix"
"B","The value of the prefactor B is given by the relation","prefactor"
"ωp","An orbit of frequency ωp for g(t) can be determined by","frequency"
"π","Since π is a stationary solution to","solution"
"Hnm1","The matrices Hnm1 and Hnm2 can be expressed as","matrix"
"λ2","The other two eigenvalues of ρ are λ1 and λ2","eigenvalue"
"λ1","The other two eigenvalues of ρ are λ1 and λ2","eigenvalue"
"A","The density matrix A is in the form of direct","matrix"
"d","where d is the normalized dipole moment given by d","moment"
"ϕ","where ϕ is the angle between a vector directed from","angle"
"p","linear mass density μ is related to the parameter p by","parameter"
"L","all details of the complete L loop amplitude with two","loop"
"n","via a series of n equations and m unknowns","equations"
"N","grouped into a larger number N via another base q expansion","number"
"α","The numbers α and β in a well-ordered polynomial form are","number"
"α","for the α and E parameters shown in","parameters"
"ξ","with a characteristic binding energy ET and localization length ξ","length"
"ED","where ED is the energy of the QD exciton measured","energy"
"ET","states with a characteristic binding energy ET and localization length ξ","energy"
"dD","with a width: dD","width"
"R","The distance R between the centers of the QD and the","distance"
"EG","have approximated the exciton energy by the band-gap energy EG","energy"
"nD","where nD is the areal density of the QDs and","density"
"nT","where nT is the areal density of the traps","density"
"ϵ","where ϵ is the average of the high frequency dielectric","average"
"n","Note that here n can be any real number not necessarily an","number"
"h","with h an arbitrary function is an exact","function"
"EB","In this case the energy is EB","energy"
"s","further depend on the harmonic number s or equivalently the typical energy of","number"
"B","where B is the magnetic field strength","strength"
"θ","between the line of sight and the magnetic field θ","field"
"β","We finally note that the plasma-beta β of the corona using","plasma-beta"
"σh","are the energy densities of photon and magnetic fields σh is the cross section for mesonproton collisions and","section"
"Ej","for the bulk Lorentz factor Ej and an assumed opening angle of","factor"
"ϕ","which depends on the phase field ϕ and the temperature T with minima in the","field"
"Tq","at an effective quantum temperature Tq coupled among them by a nearest-neighbor","temperature"
"ℋ","to be a normalized vector in a Hilbert space ℋ spanned by two","space"
"T","the system is randomly initialized at an initial temperature T and it is then updated according to for","temperature"
"A","write the most general form of a hermitian operator A satisfying","operator"
"vi","For a fiducial initial velocity vi coincidentally very similar to","velocity"
"Ks","we find that the kinetic energy of the shell Ks evolves like","energy"
"Ms","The equation of motion of a supershell of mass Ms radius Rs and velocity vs can be written","mass"
"mJ","follows: all clouds more massive than the Jeans mass mJ","mass"
"η","of an accreting black hole radiating with an efficiency η amounts","efficiency"
"ml","of allowed masses is bounded below by a mass ml and above by a mass mu","mass"
"𝒞","of a single cloud τcl times the covering factor 𝒞 of the cold phase","actor "
"Pint","We will neglect the internal pressure term Pint and concentrate on radiation pressure","term"
"nν","where nν is the number of","number"
"fν","experimental data is contained in the collection of frequencies fν","frequencies"
"Teff","with an effective temperature Teff with and without Fe are compared","temperature"
"τ","The line centre optical depth τ in a He-dominated low-density medium","depth"
"N","We consider a group of N agents moving in an n-dimensional","agents"
"R","initial positions are set within a ball of radius R centered at the","radius"
"t","where t is time variable and v is the desired","variable"
"μ","known that the identity matrix In has an eigenvalue μ of n multiplicity and n linearly independent","eigenvalue"
"v","where t is time variable and v is the desired common velocity","velocity"
"evi","evi represents the velocity difference vector between the actual","vector"
"L¯","where L¯ is the Laplacian matrix of","matrix"
"βi","used to regulate the potentials among agents βi is used","agents"
"Vi","described by artificial social potential function Vi a function of the relative","function"
"d","problem asks how d distinct triangulations can be triangulated","triangulations"
"S","in any triangulation of a set S with n points is","set"
"ξ","transition the diverging correlation length ξ leads to critical","length"
"J","with current density J","density"
"E","size and the average electric field E is obtained from","field"
"Γα","where Γθ and Γα are dissipation parameters and the noise terms have","terms"
"EJ","and EJ the Josephson energy","energy"
"θ𝐫","where θ𝐫 is the superconducting phase of the grain at","phase"
"ν","with an exponent ν to be determined","exponent"
"z","but with different dynamic exponents z for phase","exponents"
"T","in a range of temperature T and current densities","temperature"
"V","is obtained from the voltage V across the system as E","voltage"
"TKT","the estimate of the proposed KT critical temperature is TKT from Monte Carlo simulations which is close","temperature"
"Γθ","where Γθ and Γα are dissipation parameters and the noise terms","parameter"
"Δt","method with time step Δt averaging over typically time steps","step"
"A","For the phase variables A","variables"
"RL","that the linear resistance RL should decrease as a","resistance"
"Tch","the earlier estimate of the chiral transition temperature at Tch","temperature"
"x","over appropriately chosen integers x and c","integer"
"t","that if s and t are positive integers","integer"
"u","where the inner sum is over all positive integers u and v such that","integer"
"f","expectation value of the fidelity f to estimate the fidelity decay rate and that","fidelity"
"Hij","We will suppose that the hamiltonian Hij is the sum of the unperturbed stationary hamiltonian","hamiltonian"
"T^","invariant under global transformations T^ which build an irreducible representation","transformations"
"γ","integral of gauge field A^μ(𝐱) over some closed contour γ in Minkowski space","contour"
"F^μν","one usually chooses the curvature tensor of gauge field F^μν as a random variable","field"
"σ","be tied by a string with the constant tension σ","tension"
"IN","Here IN is the modified Bessel function of","function"
"sij","Let us transform to new random variables sij","variables"
"T∼","at temperatures T∼ as a result of shock heating","temperatures"
"Vacc","Taking its velocity dispersion Vacc as a parameter a realistic range may be","dispersion"
"v","The relative infall velocity v is given by","velocity"
"p","implies that the spectral index of shock accelerated particles p can be either the strong shock limit of","particles"
"T","the sole non-gravitational effect is a temperature floor of T","floor"
"de","shown that δ scales like the electron inertial length de","length"
"η","When the resistivity η drops below a critical value","resistivity"
"me","di and an electron to ion mass ratio of me is","ratio"
"η","we enable a resistivity of η","resistivity"
"ω","The dispersion relation for resistive whistler waves is ω","dispersion"
"E′","The normalized reconnection rate E′ is shown as a","rate"
"τ","(FWHM) duration τ and a","duration"
"L","The fiber length L the groupvelocity dispersion (GVD) parameter β","length"
"P","The peak power P is relied to the mean power according to","power"
"θ","plate is used to tune the angle θ between the pump polarization","angle"
"γ","Here γ stands for the Kerr nonlinearity parameter of the","parameter"
"Ω","or branching at rate Ω","rate"
"Γ","randomly and it is tried for diffusion at rate Γ or branching","rate"
"nP","where nP is the total particle number at","number"
"r","site is occupied both particles are annihilated with probability r","probability"
"c","The site meanfield equation for the concentration c (probability of site occupancy) is","concentration"
"cs","always evolves to an active phase with finite concentration cs","concentration"
"B","For a magnetic field strength of B","strength"
"p→","be the velocity vector m the relativistic mass and p→ the initial momentum (relative to local flow frame)","momentum"
"R⊥","the averaged projected expansion and an apparent radius of R⊥","radius"
"γmin","where γmin and γb are the minimum and break Lorentz factor","factor"
"Ch","where Ch is the chiral vector","vector"
"n","The dispersion relation of nanotube consists of n curves for the valence and conduction bands respectively","curves"
"μc","chosen such that at the critical quark chemical potential μc for the onset of the deconfinement","potential"
"k","each one of them involving k literals of boolean variables","literals"
"i","and S^α respectively being the Pauli matrix for qubit i and the total spin operator both in direction","qubit"
"d","A semipenetrable wall with width d separates the box","width"
"e","where e is the ratio of number of trapped atoms","ratio"
"C","is the average rate of phase space density change C","change"
"vu","taken to be d and the unit of velocity vu is taken to be","velocity"
"Lu","The unit of length Lu is taken to be d and the unit","length"
"τ","spontaneously back to the ground state with a lifetime τ","lifetime"
"σv","with a Maxwell distribution in velocity with standard deviation σv","deviation"
"l2","The model has six parameters: d l1 l2","parameter"
"l1","The model has six parameters: d l1 l2","parameter"
"f","is the time it takes to capture a fraction f of the atoms","fraction"
"g","where g is an unknown function","function"
"χ","smooth dependence of the geometric phase on the momentum χ insures that a small","momentum"
"H~","is generated by the Hamiltonian term H~ which preserves the excitations","term"
"dk","their Fourier transformation dk","transformation"
"Jc","The tunneling coupling Jc is given by the potential","coupling"
"ν","of the energy z and of the correlation length ν satisfy the relation zν","length"
"Vc","The resulting tunneling term is given by Vc","term"
"N","with N a strictly positive integer we must","integer"
"M","with M a positive integer","integer"
"r","Reflections at the edges r","edges"
"Hl","which enter the length Hl and the Kramers-Henneberger HKH form of the interaction","length"
"εgrid","this gives an electronic ground state energy εgrid","energy"
"θ","as a function of the angle θ between the internuclear axis and","angle"
"dΩ","the radial current density through the solid angle element dΩ at a chosen distance a from the origin","element"
"𝐑","with 𝐑 the internuclear distance","distance"
"Nk","As in the degree distribution Nk is described by the following rate equation","distribution"
"N","where L and N are the numbers of links and vertices in","number"
"L","where L and N are the numbers of links and","number"
"M","where M is the number of","number"
"r","where r is the shock velocity","velocity"
"κ∥","Note that κ∥ is the component of the","component"
"θ","specifically for incremental changes θ in a particle’s momentum with angle","changes"
"p","is the shock (velocity) compression ratio","momentum"
"σ","is a steady-state test-particle result and the index σ","index"
"κ⟂","for perpendicular spatial diffusion coefficient κ⟂ corresponding to weak","coefficient"
"Δ","qubit state σz the coupling g and the detuning Δ","detuning"
"t","versus measurement time t and Rabi pulse length Δt.","time"
"ωr","field of a transmission line resonator with resonance frequency ωr","frequency"
"ωs","to the qubit microwave pulses of frequency ωs which are resonant with the","frequency"
"C","In general the measurement contrast C will be","contrast"
"Δt","short microwave pulse of length Δt prepares the qubit state while","length"
"zf","the model by with a formation redshift zf with a short","redshift"
"Ω","Let Ω be a domain in complex plane and let","plane"
"Ct","Ω be a domain in complex plane and let Ct be a continuous one parameter family of Jordan","parameter"
"Xt","The complex curve Xt can be considered","curve"
"T","Consider the torus T","torus"
"Jm","Here Jm is the ordinary Bessel function of","function"
"W","under the Schlesinger transformation which takes a solution W with the parameter values","solution"
"Im","Here Im is the modified Bessel function of","function"
"𝐛","at some fixed value of impact parameter 𝐛 one can find this","parameter"
"⟨n⟩k","Here ⟨n⟩k is the average multiplicity of charged particles originated","multiplicity"
"kij","number of strings belonging to the ijth cell is kij then they form higher colour string which","number"
"ρstr","found analytically at large string density ρstr when one cluster","density"
"ΔE","in the final state nf and the energy shift ΔE given by","shift"
"ω","of a number of photons with a given frequency ω and momentum vector 𝒌","frequency"
"l","hydrogen atom states with orbital momentum l and a set of photonic states with","momentum"
"EP","length gauge subtracted the ponderomotive energy EP from the total shift","energy"
"k","with an integer nonnegative k","integer"
"n","numbers a defines a state of the atom and n is the number of the laser photons","number"
"𝒂","where 𝒂 is polarization vector operators Q^′","oerators"
"𝒑","where 𝑨 is the vector potential and 𝒑 is the momentum operator.","operator"
"F","where F is the electric field strength related to the","strength"
"E≈","the energy of the initial bound state α is: E≈","energy"
"V","an electron bound initially in a square well potential V","potential"
"kf","The momentum kf of the final state is determined via the","momentum"
"𝑨^","where 𝒑^ is the momentum operator and 𝑨^ is a quantized vector potential","potential"
"t","it will wait there for a period t determined from ψ(t) it will then jump with","period"
"T","in a polymer network with a well defined temperature T ","temperature"
"tx","Let tx be the total time spent by the system","time"
"Φ′","transforms a polyvector field Φ into another polyvector field Φ′ or equivalently","field"
"Ψ","transformation in Cspace which maps a polyvector Ψ into another polyvector Ψ′ is given by","polyvector"
"βA","Here αA and βA are parameters of the transformation","parameter"
"γA","the coordinate basis elements γM and local basis elements γA ","elements"
"X","Let X be a coordinate polyvector","polyvector"
"B","the scalar product between two Clifford numbers A and B","number"
"Ψ′","Cspace which maps a polyvector Ψ into another polyvector Ψ′ is given by","polyvector"
"i","We interprete the imaginary unit i in the way that is usual in quantum","unit"
"A","denotes the scalar product between two Clifford numbers A and B","numbers"
"Φ","The polyvector field Φ can be expanded either in term of rvector","field"
"L","statistic appropriate for correlations of length L ","length"
"w","Robnik billiard is defined as the set of points w in the complex plane 𝐂 which satisfy the","points"
